_id,company,agent_id,bus_brand,operator_id,from_city_id,from_station_id,to_city_id,to_station_id,scheduled_departure,actual_departure,arrival_time,counter,overall,safety,comfort,comment,last_updated
14,Plusliner,15,Plusliner,11,3,7,4,5,"2011-12-04 23:59","2011-12-05 00:04","2011-12-05 04:30",9,"","","","","2013-01-11 15:36"
13,"",22,Seasons,12,3,7,2,2,"2011-12-02 17:30","2011-12-02 17:36","2011-12-02 22:27","","","","","","2013-01-11 15:36"
12,"",22,Seasons,12,3,7,2,6,"2011-12-02 17:30","2011-12-02 17:36","2011-12-02 22:40","","","","","","2013-01-11 15:36"
11,Plusliner,15,Plusliner,11,2,3,3,7,"2011-11-28 00:00","2011-11-27 23:58","2011-11-28 04:00","","","","","","2013-01-11 15:36"
10,Plusliner,15,Plusliner,11,4,5,3,7,"2011-11-27 23:15","2011-11-27 23:20","2011-11-28 04:00","","","","","","2013-01-11 15:36"
9,"Sykt Pengangkutan Hamid Yacob S/B",19,"Five Stars",7,3,7,2,6,"2011-11-25 17:00","2011-11-25 17:00","2011-11-25 22:10",34,2,"","","counter said bus stopped at Puduraya but stopped at Damansara instead, had to argue with driver","2013-01-11 15:36"
8,"Sykt Pengangkutan Hamid Yacob S/B",19,"Five Stars",7,3,7,2,8,"2011-11-25 17:00","2011-11-25 17:00","2011-11-25 21:45",34,2,"","","counter said bus stopped at Puduraya but stopped at Damansara instead, had to argue with driver","2013-01-11 15:36"
7,"KPB Ekspres",12,"",17,3,7,2,6,"2011-11-20 22:30","2011-11-20 22:41","2011-11-21 03:40",1/2,"","","","","2013-01-11 15:36"
6,Aeroline,2,Aeroline,2,2,1,3,7,"2011-11-19 15:00","2011-11-19 15:00","2011-11-19 19:40","",5,5,5,"","2013-01-11 15:36"
4,Plusliner,15,Plusliner,11,2,3,3,7,"2011-10-31 00:00","2011-10-31 00:02","2011-10-31 03:35","","","","","","2013-01-11 15:36"
3,"KPB Ekspres",12,Seasons,12,3,7,2,6,"2011-10-28 18:30","2011-10-28 18:45","2011-10-29 00:20",1/2,"","","","","2013-01-11 15:36"
2,Plusliner,15,Plusliner,11,3,7,2,3,"2011-10-23 18:30","2011-10-23 18:45","2011-10-24 00:20",9,"","","","","2013-01-11 15:36"
1,Transnasional,20,Transnasional,16,3,7,2,6,"2011-10-21 17:30","2011-10-21 17:30","2011-10-21 23:44",9,"","","","","2013-01-11 15:36"
